道具id;道具名称;描述;稀有度
801071;集市帖;宇文庄秘宝集市专用帖，能够替代铜钱，几乎所有吃喝玩乐买卖都需要。;金
31024;毛笔;文房四宝之一，有玉管、翠管等雅称，毛笔初用兔毛，后亦用羊、鼬、狼、鸡、鼠等动物毛，笔管以竹或其它质料制成，相传东晋王羲之就是用鼠须笔写《兰亭序》的。;绿
31025;砚台;文房四宝之一，汉代刘熙写的《释名》中有云：砚者研也，可研墨使和濡也。箕形砚是唐代常见的砚式，形同簸箕，砚底一端落地，一端以足支撑。唐、宋时，砚台的造型更加多样化。;绿
31026;宣纸;书画用纸，是汉族传统造纸工艺之一。宣纸始于唐代、产于泾县，因唐代泾县隶属宣州府管辖，故因地得名宣纸。宣纸有易于保存，经久不脆，不会褪色等特点，故有纸寿千年之誉。;绿
801075;山贼钥匙;用于打开山贼据点中的宝箱，最多持有50个。;暗金
801076;《列子诸考·材》;记载了古时各国民间遗风，包含不少有趣的小故事。使用：尝试将5本残卷拼合，获得更多线索;橙
801077;《列子诸考·仁》;记载了古时各国民间遗风，包含不少有趣的小故事。使用：尝试将5本残卷拼合，获得更多线索;橙
801078;《列子诸考·智》;记载了古时各国民间遗风，包含不少有趣的小故事。使用：尝试将5本残卷拼合，获得更多线索;橙
801079;《列子诸考·忠》;记载了古时各国民间遗风，包含不少有趣的小故事。使用：尝试将5本残卷拼合，获得更多线索;橙
31032;《女史箴图》;东晋顾恺之的作品，此图依据西晋张华《女史箴》一文而作，原文十二节，所画亦为十二段。晋武帝司马炎死后，儿子司马衷即位，史称晋惠帝。晋惠帝是历史上典型的昏庸无能皇帝。他从小就不爱读书，整天吃喝玩乐，不务正业，大权尽落皇后贾氏之手。贾氏为人心狠手辣，荒淫无度，引起朝中众臣的不满。张华便收集历史上各代先贤圣女的事迹，写成《女史箴》，以示劝诫和警示。顾恺之根据文章分段配画，画面形象地提示了箴文的含义。;蓝
31033;檀香;原产于天竺，又名白檀。花初开时黄色，后血红色，木材奇香，常作为高级器具、镶嵌、雕刻等用材，佛家僧侣非常喜爱。;蓝
31034;《妙法莲华经》;我念过去数。为求大法顾。虽作世国王。不贪五裕乐。可以在少林寺换取一枚燃木令;蓝
31035;《佛家金刚经》;金刚般若波罗蜜，波罗波罗蜜。可以在少林寺换取一枚燃木令;蓝
31036;《圆觉经》;一切众生种种幻化，皆生如来圆觉妙心。可以在少林寺换取一枚燃木令;蓝
31037;《无量寿经》;阿弥陀佛，娑婆世界。可以在少林寺换取一枚燃木令;蓝
801086;紫苏的包裹;紫苏为寒候准备的包裹，里面包含着几个紫苏炼制的特殊丹药，可以立刻治疗寒候的任何伤口。;橙
801087;寒候的信件-紫苏;寒候给紫苏写的信件，厚厚的信件感觉藏着不少秘密。;橙
801088;寒候的信件-小赖利;寒候给小赖利写的信件。对比紫苏的信件，感觉少了几分厚度。;橙
31041;《送子天王图》;图又名《释迦降生图》，乃吴道子根据佛典《瑞应本起经》绘画。画中人物天王威严，大臣端庄，夫人慈祥，侍女卑恭，鬼神张牙舞爪，瑞兽灵活飞动，富有想象力而又画得极为神韵。;紫
31042;《夏山高隐图》;此图追摹巨然画法，山峦用折伸展，跌宕起伏，灵巧深秀。多用柔和修长的披麻皴和攒点点苔法，以淡墨多层渲染，山色显得葱茏而清润，深得淡墨轻风之妙。;紫
31043;秋月的药谱;秋月用来记载配方的药谱。使用：学会“安神水”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;绿
31044;《华严经》;所有十方世界中，三世一切人师子，我以清净身语意，一切遍礼尽无余。可以在少林寺换取一枚燃木令;紫
801093;蒋仁的信件-京城;蒋仁给蒋义写的求援信。;橙
801094;阿月的信件;信里写着一篇优美的诗句。信件上原本的收件人被划掉，你依稀看得出被划掉的字是阿月。旁边写着新的收件人 - 小亮哥哥 - 除了收件人的字迹，信里内容的字迹好像是阿羿的字迹 …;橙
801095;红袖招香囊;产自红袖招，散发脂粉气息的肤色香囊。香囊造型别致，单手即可把玩，手感酥糯温润，中央绣着一颗红豆，细嗅时有股奶香。红袖招玩法开发中，敬请期待;橙
502129;《无妄神功》残章;;金
80201;张氏发簪;期盼在外的游子能早日归来。;绿
502133;《九天九地》残章;;蓝
6000190;《蛤蟆蹬腿》天书;;紫
31052;《溪山行旅图》;《溪山行旅图》是北宋范宽创作的绢本墨笔画;橙
31053;《洛神赋图》;由东晋著名画家顾恺之绘制， 这幅画根据曹植著名的《洛神赋》而作，赋曰：其形也，翩若惊鸿，婉若游龙，荣曜秋菊，华茂春松。仿佛兮若轻云之蔽月，飘摇兮若流风之回雪。画中的曹植带着随从，在洛水之滨凝神怅望，仿佛见到思念已久的洛神。远处凌波而来的洛神，衣带飘逸，动态委婉从容，目光凝注，表现了关切、迟疑的神情。二人的思念之情溢于卷面，令人感动。;橙
31054;十大美女图;穿着衣服的那种。在剧本中使用：解锁漫画收藏《角色扮演7》，若已经解锁则全队获得5000点经验;暗金
502137;《凌空指》残章;;橙
502140;《伤心欲绝掌》残章;;暗金
502141;《奔血掌》残章;;橙
502142;《百花流影》残章;;橙
502143;《火焰神掌》残章;;暗金
502145;《铁线拳》残章;;绿
31061;《呕血谱》;北宋围棋国手刘仲甫在骊山脚下,看到一乡下少女家里墙上竟然挂着棋盘,于是嗤笑对方。妙龄少女秀眉微蹙,与刘仲甫对弈,素指轻弹一百二十着,刘被杀得大败,登时呕血数升,从此人们把这次对弈的棋谱称之为《呕血谱》。;金
31062;《温馨的世界》;淑芬为流浪孩子团伙们创作的温馨画作,也代表着她画技的圆满和成熟,旷世佳作!;暗金
31063;《庐山观瀑图》;曾卖出天价的名画，适合送给喜欢书画的人。;暗金
502104;《蓑衣刀法》残章;;白
502105;《快斩刀法》残章;;绿
502106;《刀气剑诀》残章;;金
502107;《烧火棍法》残章;;白
502108;《奇门拳术》残章;;金
502109;《连环追心剑法》残章;;金
502110;《养心剑法》残章;;白
31071;画作;淑芬创作出来的画作;暗金
31072;《血泪谱》;记载棋圣黄龙士，与后起之秀徐星友之间的授三子局。由于双方对弈异常激烈，对局者又先后光耀于棋坛，这十局对弈便受到了古今棋手的格外推崇。;暗金
31073;《安宁的客栈》;淑芬为开封客栈所画的画作,报答白久掌柜给予的美食之恩,画作中的客栈与客人唯美的结合在了一起,是一副难得的佳品;暗金
31074;《五爪金龙》;淑芬为胡神医特意制作的龙画,绘画的是五爪金龙,此龙全身金黄,有着高贵无比的气势,栩栩如生,仿佛随时要从画中飞出一般;暗金
31075;《郊外的风景》;淑芬和平凡初遇于京城制作的画作,在平凡的笛声帮助下,淑芬做出了有生以来最优秀的画作,此画本应天上有;暗金
31076;《西湖佳人》;淑芬为空妙妙在杭州所作的肖像画,美人美景,还有何求?;暗金
31077;《三人行》;淑芬为杭州的三个小孩特意制作的画作,一个简单的画面,却仿佛道尽了他们彼此的友谊和度过的困难日子;暗金
31078;《天生一对》;淑芬为空空玉堂创作的画作,金童玉女,天生一对,若不是敌人,可能会成为很好的知音吧?;暗金
31079;《明珠有泪》;淑芬为权家三人之间苦恋所创作的悲剧画作,远远看去,似乎就能看到画中的人流下了眼泪;暗金
31080;神秘画像;随心而画，并不知画的是谁在剧本中使用：解锁漫画收藏《角色扮演2》，若已经解锁则全队获得5000点经验;暗金
31081;周天涯的丹青;周天涯的杰作，远远超出平常的作品，据说是其失恋后所作。在剧本中使用：解锁漫画收藏《角色扮演3》，若已经解锁则全队获得5000点经验;暗金
420202;铁线衣;;绿
420203;丐帮遮羞布;丐帮的统一衣服，几片碎布条扯起来的;绿
420204;玄机门布衣;玄机门的布衣，粉红色、粉绿色、粉蓝色，很好看;绿
420205;长生门布衣;长生门弟子统一的长衫，穿上后就像个长生门弟子了。;绿
420206;峨嵋派轻衫;峨嵋派的布衣，式样老旧，颜色暗淡，和道袍没什么两样;蓝
420207;少林僧袍;少林寺小和尚的衣服，方便劳动;绿
420208;武当道袍;武当派的衣服，素黑色;绿
420209;五岳宗布衣;华山弟子衣服，上身贴身肩膀宽松，专为练剑弟子改良过;绿
420210;天阴教教服;天阴教统一的制服，把脸都遮住了;绿
420211;逍遥仙宫布衣;逍遥仙宫布衣，飘飘然很仙气;绿
420212;五毒教教服;五毒教的衣服，就是九黎人的民族服饰;绿
420213;玉女派轻衫;玉女派的衣服，纯白;绿
420214;全真教道袍;全真教道袍，一身藏青色;绿
420215;邪剑侣之衣;父母留下的豪华装备，不知道是怎么保存至今的。;绿
420216;楼俊杰的护心镜;穿在胸口可以保命，就是凸起的形状比较尴尬;绿
420217;见习捕快服;六扇门见习捕快的制服，统一配备，辨识度很低;绿
502138;《烈阳禅指》残章;;金
502139;《六脉齐发》残章;;暗金
420220;十衲袈裟;普通袈裟上按照纹理缝添了十块异色的布，数量意味着了世修行闭口禅的年长，每多一年，缝上一块。;绿
420221;虎皮坎肩;用整张虎皮制作成的坎肩，有着完整的花纹和柔顺毛发，虎虎生风，是出没丛林的最好伪装。;绿
440702;玉箫;一支翠绿玉萧，灌注了主人半生的内劲，和口水。;暗金
440703;赤菩提;赤刀门镇派之宝。奉行黑教秘术，供奉在洞穴深处。;暗金
502144;《长拳》残章;;白
440705;七宝戒指;逍遥仙宫宫主信物。为逍遥仙宫祖师游历中原，采七宝而制，金光璀璨，不可直视。;暗金
440706;紫金八卦镜;紫金打造，上有八卦图案。战斗外可以拿来推演卦象，战斗中可以用来保护胸口。;暗金
440707;熟钢项链;生产系统产出的基础暗金装备，属性较高，并无什么特殊能力。;暗金
440708;冷钢项链;生产系统产出的基础暗金装备，属性较高，并无什么特殊能力。;暗金
440709;神州真龙玺;普天之下只有一人，能拿得安稳，其他人不论是谁拿到了都是烫手山芋。;暗金
440710;潇潇一意;唐缺的妻子潇潇做给他的一块吊坠，希望他的眼中不仅仅只有傀儡和唐门;暗金
440711;韦陀一笑;四十年过去了，这是唐家老太爷留给唐老太太唯一的遗物。唐老太太保存在身上。;暗金
440712;兽牙项链;形似尖利兽牙的玉串，串成一串项链，生猛野趣。;暗金
502153;《如来神掌》残章;;金
440714;云追月玉佩;形似云与月的玉佩，通体透亮，十分宝贵。;暗金
440715;碧玉百合;一朵玉百合，下绿上白，栩栩如生。;暗金
440716;古韵香囊;纹饰古朴的香囊，散发的香气却持久绵长，馥郁芬芳。;暗金
440717;镇国将军饰品;;暗金
440718;改邪归正;;暗金
440719;气死人不偿命;;暗金
440720;半遮面;;暗金
440721;淑芬的画;;暗金
440722;龙纹玉佩;雕琢有龙形图案的玉佩，摆动时，似有龙游其中。;暗金
440723;羊脂玉佩;;暗金
440724;千夫戒;白品金质之物，相传秦会稽之地一鲁姓巨匠所造，拥千夫戒者为天地立心，为生民立命。;白
440725;孺子戒;白品金质之物，相传秦会稽之地一鲁姓巨匠所造，拥孺子戒者为往圣继绝学，为万世开太平。;白
440726;千夫孺子戒;秦会稽之地一鲁姓巨匠所造，由千夫戒与孺子戒合二为一，天下英豪之象征。;暗金
440727;桃宝;马清扬批量生产的所谓上古至宝，忽悠不知情的人说是千年桃木所制，故名曰桃宝。;蓝
440728;洞经秘宝符;虎头山谷木法师镇压僰人棺鬼所用，置于五行机关金边罗盘中，曾被封印于茶马古道中。;暗金
502147;《扫堂腿法》残章;;白
502148;《旋风腿法》残章;;绿
502151;《玉女清心剑法》残章;;金
502191;《剑圣秘典》残章;;暗金
502192;《暗器秘典》残章;;暗金
502194;《药王秘典》残章;;暗金
502197;《血刃魔刀》残章;;暗金
502214;《江湖腿法》残章;;白
502216;《江湖剑法》残章;;白
502234;《一掷千金》残章;;暗金
502313;《追魂夺命帖》残章;;暗金
510001;《饺子十八式》秘籍;;暗金
31141;《聚元丹》配方;聚元丹享誉武林数十载，乃药王庄镇派之宝。使用：学会“聚元丹”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;橙
31142;蛛囊;按一下能吐出蛛丝，不知道有什么用处。;紫
510002;《芳香腿法》秘籍;;暗金
510004;《香艳剑法》秘籍;;金
502185;《赤焰刀法》残章;;紫
502186;《对月纵酒歌》残章;;蓝
502187;《玄铁巨剑法》残章;;暗金
502188;《飞天摧星功》残章;;蓝
502189;《刀霸秘典》残章;;暗金
502190;《棍王秘典》残章;;暗金
80303;虾球的回礼;虾球从它的收藏中随意挑了一件给你作为回礼...使用：开启虾球的回礼;蓝
80304;三逆丹;在剧本中使用：使角色的生命值增加（10000+当前生命值1%），每个角色最多使用3次。;暗金
80305;白云明月丸;在剧本中使用：使角色的内力阳性+10点，服用后可解毒，每个角色最多使用3次。江湖中最为著名的丹药，传说可解世间一切毒物。;金
80306;绿矾石;炼制绿矾油的原材料，亦是《本草纲目》中记录在册的药材;蓝
80307;绿矾油;发出难忍的刺鼻气味，可用于溶化铁器，须得轻拿轻放才是;蓝
80308;神秘铁匣;童童捡到的神秘铁匣，印有神秘图案;蓝
80309;朴素的挂坠;李良远在故乡的青梅竹马亲手制作的挂坠。虽然朴素，但倾注了满满的心意。使用：分解得到少许矿石;蓝
502198;《傲笑狂刀》残章;;金
502199;《拳皇秘典》残章;;暗金
510007;《挨打神功》秘籍;;暗金
510010;《踩踏》秘籍;;白
6000155;《爱日惜力》天书;;橙
6000154;《日月丽天》天书;;蓝
6000152;《皓月当空》天书;;绿
6000151;《月明千里》天书;;蓝
6000150;《日就月将》天书;;暗金
6000149;《日升月恒》天书;;白
6000148;《日不移晷》天书;;紫
510401;《少林刀法》秘籍;;白
510402;《破魔刀法》秘籍;;蓝
510403;《慈悲刀法》秘籍;;紫
510404;《烈焰刀法》秘籍;;金
502213;《江湖棍法》残章;;白
412102;木剑;;白
412103;宇文家破剑;在宇文庄遗落的铁剑，虽说是剑，但有明显的残缺;白
412104;李家桃木剑;李小虎用攒了好几个月零用钱买来的木剑，他可当宝贝呢;白
416201;铁针匣;;绿
416202;膏药贴;黑乎乎的药膏粘在皮纸上，散发出浓郁的苦味儿。粘上后很难取下来，而且需要冒着撕扯汗毛的剧痛。;绿
510411;《金钟罩》秘籍;;紫
502220;《江湖刀法》残章;;白
420301;铜线衣;;蓝
420302;轻薄之徒便服;全身乌黑，夜晚行动不易被发现。;蓝
420303;赤刀门僧衣;赤刀门的僧衣，样式源自黑教，远比一般的僧衣可怖;蓝
420304;万兽衣;绣满了各式动物的图案，也带点动物的骚味。;蓝
420305;敷胸丝绸巾;女扮男装时用到的道具，使用方式不便明说。;蓝
420306;慈母补丁服;打着补丁的衣服，充满了历史的沧桑感和汗臭。;蓝
420307;剑宗的衣服;剑宗弟子都穿的经典服饰，装备后变为剑宗弟子造型;蓝
420308;救生衣;由普通衣料和材质所制成的特殊衣服,适用于在海上使用;蓝
420309;夜行衣;暗色的衣服,经常用来在夜色中潜行;蓝
420310;何员外的锦衣;何员外的锦衣;蓝
420311;破旧僧袍;李刚早年在少林学艺所穿的僧袍。闯荡江湖以来，一直随身携带，以示不敢忘本之意。;蓝
510424;《少林连环腿》秘籍;;绿
420313;星布袍;星布袍;蓝
420314;铁链甲;背心状的链甲，采用铁丝编织，非常沉重，防护力与重量成正比，是齐小伍保命的凭依之一。;蓝
6000145;《拜月血针》天书;;金
6000142;《刀头舔蜜》天书;;紫
6000141;《力敌千钧》天书;;绿
510036;《浑天虎王击》秘籍;;橙
510037;《拍拍掌》秘籍;;白
510038;《赤月熊丹掌》秘籍;;蓝
510039;《雷光巨熊掌》秘籍;;橙
510041;《巨螯重击》秘籍;;白
510042;《九鼎蟹幽功》秘籍;;蓝
510043;《凌霄蟹幻法》秘籍;;橙
510044;《太虚问道功》秘籍;;暗金
510045;《毒刺》秘籍;;白
510046;《蛊风蝎蛊刺》秘籍;;蓝
510047;《火凝蝎毒经》秘籍;;橙
551401;《玄燕穿云剑》秘籍;;橙
551402;《固元扶伤丹》秘籍;;橙
551403;《驻生长命》秘籍;;橙
551404;《神凝心静》秘籍;;金
510102;《乞丐棍法》秘籍;;白
510103;《铁拐棍法》秘籍;;紫
510104;《打狗棍法》秘籍;;暗金
510105;《丐帮心法》秘籍;;绿
510106;《丐帮内传秘诀》秘籍;;紫
510109;《擒龙掌法》秘籍;;橙
510110;《降龙问天掌》秘籍;;暗金
510112;《游龙腿法》秘籍;;紫
510113;《打狗大阵》秘籍;;金
510201;《玄机弹指》秘籍;;暗金
510202;《玄机醉步》秘籍;;金
510203;《玄机剑法》秘籍;;绿
510206;《眉来眼去剑》秘籍;;蓝
510207;《玄机心法》秘籍;;绿
510211;《三重劈空掌》秘籍;;蓝
510212;《百花掌法》秘籍;;橙
510213;《醉八仙掌法》秘籍;;暗金
510218;《五弦连珠镖》秘籍;;金
31231;《铁甲船》设计图;青龙帮镇帮之宝，绘制了铁甲船的细节部件。青龙帮凭铁甲船在海上横行无阻，官府极为头疼。;蓝
510220;《一石三鸟》秘籍;;绿
510222;《捕风捉影腿》秘籍;;金
510223;《鸳鸯腿》秘籍;;蓝
510224;《太白剑法》秘籍;;金
510225;《追风逐日腿》秘籍;;暗金
510226;《坐忘心法》秘籍;;橙
510227;《玉环步》秘籍;;白
510228;《天地动》秘籍;;暗金
510229;《玄机腿法》秘籍;;橙
6000092;《外功暴击》天书;;暗金
510230;《倾城腿法》秘籍;;暗金
510232;《风行腿法》秘籍;;紫
510233;《无心掌》秘籍;;橙
510234;《四极心法》秘籍;;紫
510301;《灵枢针术》秘籍;;蓝
510302;《雁行功》秘籍;;绿
510303;《长生剑法》秘籍;;白
80401;春燕的书信;上面纹着九黎人的神圣图案，但是只有一半。;紫
80402;陈旧银指环;张天师遗落在峨眉秘境的指环。若是无意间捡到，建议先行保管。;紫
31251;《龙泉宝剑》图纸;铸剑山庄镇派之宝。相传龙泉宝剑锋锐异常，且造价低廉，百余年来常有拥兵自重者觊觎在侧，铸剑山庄早已不再铸造，只留下图纸代代相传。;暗金
80404;大燕世族谱表;破旧的本子，隐约能看见封面上的字;紫
510304;《回风吹雪剑法》秘籍;;蓝
510308;《寿比南山功》秘籍;;金
510309;《延年益寿功》秘籍;;暗金
510311;《枯木逢春》秘籍;;白
907801;峨嵋神兵盒;装着峨嵋秘境传说装备的兵器盒，在剧本中使用：获得1件暗金装备;暗金
907802;泰山神兵盒;装着泰山小径传说装备的兵器盒，在剧本中使用：获得1件暗金装备;暗金
907803;恒山神兵盒;装着恒山密林传说装备的兵器盒，在剧本中使用：获得1件暗金装备;暗金
907804;黑月崖神兵盒;装着黑月崖后山传说装备的兵器盒，在剧本中使用：获得1件暗金装备;暗金
502301;《毒蒺藜》残章;;白
502302;《潜藏要术》残章;;绿
502303;《毒性锻体》残章;;紫
502304;《无忧邪经》残章;;橙
502305;《天府操傀诀》残章;;暗金
502306;《银针飞花》残章;;蓝
502307;《五彩神砂》残章;;橙
502308;《乾坤百切斩》残章;;橙
502309;《袖中藏刀》残章;;白
502310;《机关片斩刀》残章;;蓝
502311;《傀儡始解》残章;;绿
502312;《神机傀道》残章;;暗金
412201;白小青的剑;白小青的佩剑，被担心她的老爸收走当商品贩卖。哼，代沟。;绿
412202;铁剑;;绿
412203;上善剑;通体黝黑，象征肾水。剑鞘上刻着铭文“上善若水，水善利万物而不争”。;绿
412204;寻山剑;重剑，需要双手持握才能拿起，稍微挥动几下就有赫赫威势，剑柄上镶嵌了一块很小的泰山石。;绿
416301;铜针匣;;蓝
416302;银针飞花;;蓝
416303;灵枢针匣;;蓝
416304;黑血神针;;蓝
416305;白铁飞镖;范文林用来偷偷练习暗器武学的道具，非常锋利。;蓝
416306;竹坞莲风;为配合《银针飞花》而亲手制作，使用十年生老竹，通体翠绿，形如含苞未放的莲花，激发时花瓣层层展开，美而致命。;蓝
420403;黄布衫;有些陈旧，但是看着非常结实耐用，用料考究。衣角绣着一个小小的佛像。;紫
420404;白月庄锦衣;白月庄特产，江南最大织造厂出品。;紫
420405;欢喜袈裟;哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈;紫
420406;降龙腰带;名字听着挺厉害，其实就是一个基本的腰带;紫
420407;紫霞腰带;霜家天下第一裁缝亲自绣的腰带;紫
420408;黑风衣;黑风山寨镇寨之宝;紫
420409;六扇门弟子服;六扇门正式捕快的制服，统一配备，结实耐用;紫
420410;虎皮裙;由虎皮精制而成;紫
420411;简长老的锦衣;穿上它，你就是最有钱的乞丐。;紫
420412;彭长老的锦带;彭长老花了三个月的积蓄买来的腰带;紫
420413;武当八卦袍;武当八卦套装之一装备全套后，没有任何特殊效果。;紫
420414;武当八卦带;武当八卦套装之一装备全套后，没有任何特殊效果。;紫
420415;清儿之袍;清儿之袍;紫
420416;闻儿之带;闻儿之带;紫
420417;锁子甲;精铁打造，经久耐用，普通刀剑休想穿透;紫
510312;《歧黄之术》秘籍;;紫
510313;《金风玉露》秘籍;;蓝
510315;《天仙续命丹》秘籍;;橙
510319;《悬丝诊脉》秘籍;;蓝
510320;《生灭一指》秘籍;;暗金
510321;《气机倒灌》秘籍;;橙
510322;《经脉错乱针》秘籍;;橙
510323;《阴阳逆行针》秘籍;;暗金
510324;《金针秘传》秘籍;;白
510325;《悬壶济世》秘籍;;金
510326;《千金要方》秘籍;;暗金
551501;《举钵禅》秘籍;;蓝
551502;《笑狮禅》秘籍;;蓝
31311;迷药;价值不高但药力十分强劲，可以用于迷晕敌人。;白
31312;决明子;是豆科植物决明或小决明的干燥成熟种子，以其有明目之功而名之，民间常用来做枕芯。;白
31313;益母草;益母草有利尿消肿、收缩子宫作用的作用，是历代医家用来治疗妇科病的要药。;白
31314;天南星;一种生长在武当山的草药;白
551507;《伏虎禅》秘籍;;蓝
551508;《持戒拳》秘籍;;紫
551509;《持戒刀》秘籍;;紫
551510;《持戒棍》秘籍;;紫
551511;《我佛慈悲》秘籍;;橙
510406;《普门杖法》秘籍;;绿
31321;铁石斛;草本植物，其茎入药，属补益药中的补阴药：益胃生津，滋阴清热。;绿
31322;野猪骨;野猪的头骨，可入药，味咸，性平，具有截疟，利水之功效。;绿
31323;当归;主产于甘肃，《金匮要略》等书中记载，具有补血活血等功效。;绿
510407;《韦陀杖法》秘籍;;蓝
510408;《伏虎杖法》秘籍;;橙
510409;《达摩禅杖》秘籍;;暗金
510410;《少林心法》秘籍;;绿
510412;《罗汉铜人功》秘籍;;金
6000054;《齐心协力》天书;;金
6000052;《天地精华》天书;;橙
31331;牛黄;非常稀有的一味药材;蓝
31332;铜骨七;银莲花的根茎，可入药，有活血，祛瘀，止痛之功效，可治跌打损伤。;蓝
31333;三七;主产于云南文山州各县，以其根部入药，其性温，味辛，具有显著的活血化瘀、消肿定痛功效。;蓝
6000051;《调息练气》天书;;白
957031;贪吃罗汉拳套图纸;使用：学会“贪吃罗汉拳套”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;暗金
957032;冷月宝刀图纸;使用：学会“冷月宝刀”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;暗金
957033;九环金刀图纸;使用：学会“九环金刀”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;暗金
957034;九天元阳护腿图纸;使用：学会“九天元阳护腿”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;暗金
957035;降龙伏虎棍图纸;使用：学会“降龙伏虎棍”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;暗金
957036;灵芝仙草扇图纸;使用：学会“灵芝仙草扇”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;暗金
31341;银柴胡;根茎可入药，味甘、性微寒，功效可退虚热、清疳热。;紫
31342;天麻;生长在深山里稀有名贵的药用植物，用于治疗头痛眩晕、肢体麻木等症状。;紫
957039;道祖炉鼎图纸;使用：学会“道祖炉鼎”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;暗金
6000050;《万寿无疆》天书;;紫
6000047;《新鲜空气》天书;;绿
6000045;《风雷助阵》天书;;金
510419;《大乘·般若禅掌》秘籍;;暗金
6000042;《义务行医》天书;;金
80501;藏宝图;已经打开的藏宝图;紫
80502;门派大全手册;记录了江湖上的各路门派信息。使用：查看门派信息;橙
31351;金樱子;果实可入药，味酸、甘、涩，常用于固精缩尿，固崩止带，涩肠止泻。;橙
80504;莫正的铁砧;传说中的铁匠莫正心爱的铁砧;橙
80505;玄铁令;破烂的铁牌，闻着有血腥味;橙
80506;白脂玉环;王翼就是拥有大量的此类物品，以此晋升的。能卖个好价钱;橙
80507;记忆碎片;你回想起了关于自己过往...;橙
80508;记忆碎片;你回想起了关于自己过往...;橙
80509;汗血宝马;名马。大地图上移动时，消耗时间缩短40%，同时拥有多个马匹时效果只取最大值;金
80510;白玉君子汤;关关雎鸠，在河之洲。窈宨淑女，君子好逑。在剧本中使用：增加一名队友10点暴击值;金
80511;雄鸡一唱天下白;运用玄机门的百花拳法做出来的美味食物。在剧本中使用：增加一名队友10点反击值;暗金
80512;开水白菜;听起来很不起眼，其实极其花费食材、时间、精力、技术，非常名贵。在剧本中使用：增加一名队友10点破招值;暗金
31361;人参;人参历来被视为百草之王，除了补气养颜外，多年人参有着为生命垂危之人续命的神奇功效。;金
80514;地下监牢钥匙;能够打开京城白衣教地下监牢中所有的门，但使用一次便会损坏听说地下监牢的钥匙守护者持有多把钥匙，但每失去一把就暴怒一分;橙
80515;冷梅的铁盒;九黎人冷梅留下的遗物，盒子上印有淡淡梅花使用：尝试打开盒子;橙
80516;冷梅的包裹;九黎人冷梅留下的包裹使用：打开包裹;橙
80517;冷梅的手信;九黎人冷梅留下的手信，满溢思念之情使用：再次读手信;橙
510422;《十二路谭腿》秘籍;;紫
510425;《十八罗汉阵》秘籍;;紫
510426;《金刚伏魔阵》秘籍;;金
510601;《峨嵋剑法》秘籍;;白
510602;《金顶穿花剑》秘籍;;橙
31371;冰山雪莲;生长在人迹罕至的冰山峭壁之上，花姿卓约洁白，可解多种中毒效果，并提高人体免疫力，是举世闻名的珍稀药材;暗金
510604;《峨嵋心法》秘籍;;绿
412301;金书蕾的佩剑;来源不明的一把佩剑，但每次有人问及，金书蕾就会变得异常烦躁。;蓝
412302;铜剑;;蓝
412303;长生门弟子剑;长生门弟子专用剑;蓝
412304;峨嵋派弟子剑;峨嵋派派弟子专用剑;蓝
412305;五岳宗弟子剑;五岳宗弟子专用剑;蓝
412306;天阴教弟子剑;天阴教弟子专用剑;蓝
412307;玉女派弟子剑;玉女派弟子专用剑;蓝
412308;全真教弟子剑;全真教弟子专用剑;蓝
412309;龙门镖局弟子剑;龙门镖局弟子专用剑;蓝
412310;恒山派弟子剑;恒山派弟子专用剑;蓝
412311;铸剑山庄弟子剑;铸剑山庄弟子专用剑;蓝
412312;岳袁飞的剑;岳袁飞的剑;蓝
412313;狂风剑;;蓝
412314;穿云剑;;蓝
412315;日月剑;;蓝
412316;天冬剑;浅黄色的长剑，乍一看上去有点土。实则威力不小，剑名的灵感来源于半夏自己的名字。;蓝
412317;竹鱼剑;剑柄以特制的紫竹做成，雕刻为长鲤形状，剑刃出于扁平鱼口。常被错认成鱼肠剑的仿品，其实来源于鱼篮观音。;蓝
412318;酒中仙;“花间一壶酒，对影成三人”。唐剑式样，剑首硕大，三耳云头，剑鞘装饰繁复，看得出来主人是位李白的狂热爱好者。;蓝
412319;道剑;;蓝
412320;干将剑胚;;蓝
412321;太白宝剑;据说是一位到处蹭酒喝的道士抵债时给李太白的宝剑。;蓝
510501;《武当身法》秘籍;;白
510502;《凌云功》秘籍;;紫
510503;《柔云剑法》秘籍;;绿
510504;《绵云柔剑》秘籍;;紫
510505;《神武剑法》秘籍;;金
510506;《太极剑》秘籍;;暗金
510507;《武当心法》秘籍;;绿
510508;《武当烈阳功》秘籍;;橙
510509;《太极神功》秘籍;;金
510510;《纯阳·童子功》秘籍;;暗金
510511;《武当长拳》秘籍;;白
510512;《破阵爪》秘籍;;绿
