天赋id;天赋名称;描述;稀有度
1362;妒火中烧1级;自身攻击时，敌人每有一种增益状态（强壮、坚韧、轻盈、疗伤、调息），受到基础伤害+2%;蓝
1363;妒火中烧2级;自身攻击时，敌人每有一种增益状态（强壮、坚韧、轻盈、疗伤、调息），受到基础伤害+3%;紫
1364;妒火中烧3级;自身攻击时，敌人每有一种增益状态（强壮、坚韧、轻盈、疗伤、调息），受到基础伤害+4%;橙
1365;妒火中烧4级;自身攻击时，敌人每有一种增益状态（强壮、坚韧、轻盈、疗伤、调息），受到基础伤害+5%;金
1366;妒火中烧5级;自身攻击时，敌人每有一种增益状态（强壮、坚韧、轻盈、疗伤、调息），受到基础伤害+7%;暗金
1367;嗜血追击1级;当敌人生命值低于50%时，我方最终基础伤害+5%，且敌人剩余生命值百分比每比50%低5%时，我方额外增加1%最终伤害;橙
1368;嗜血追击3级;当敌人生命值低于50%时，我方最终基础伤害+5%，且敌人剩余生命值百分比每比50%低5%时，我方额外增加3%最终伤害;暗金
1369;嗜血追击2级;当敌人生命值低于50%时，我方最终基础伤害+5%，且敌人剩余生命值百分比每比50%低5%时，我方额外增加2%最终伤害;金
1370;常备不懈1级;常备不懈1级：回合外使用武学时，伤害为回合内使用时60%（初始值为50%）;蓝
1371;常备不懈2级;回合外使用武学时，伤害为回合内使用时80%;紫
1372;常备不懈3级;回合外使用武学时，伤害为回合内使用时100%;橙
1373;常备不懈4级;回合外使用武学时，伤害为回合内使用时110%;金
1374;常备不懈5级;回合外使用武学时，伤害为回合内使用时120%;暗金
1375;穿云裂石1级;所有武学攻击真气为0的角色时，基础伤害+10%;蓝
1376;穿云裂石2级;所有武学攻击真气为0的角色时，基础伤害+12%;紫
1377;穿云裂石3级;所有武学攻击真气为0的角色时，基础伤害+15%;橙
1378;穿云裂石4级;所有武学攻击真气为0的角色时，基础伤害+20%;金
1379;穿云裂石5级;所有武学攻击真气为0的角色时，基础伤害+30%;暗金
1380;魂飞魄散1级;使用暗器武学时，如果首个目标有中毒>99"状态，30%几率发动一次《追魂夺命帖》（每回合只触发一次）";橙
1381;魂飞魄散2级;使用暗器武学时，如果首个目标有中毒>99"状态，60%几率发动一次《追魂夺命帖》（每回合只触发一次）";金
1382;魂飞魄散3级;使用暗器武学时，如果首个目标有中毒>99"状态，100%几率发动一次《追魂夺命帖》（每回合只触发一次）";暗金
1383;绝对防御1级;每次受击后（包含援护防御受击），自身获得绝对防御状态（可叠加5层），受到攻击减少最终伤害，值为真气*2%+1000点;蓝
1384;绝对防御2级;每次受击后（包含援护防御受击），自身获得绝对防御状态（可叠加5层），受到攻击减少最终伤害，值为真气*3%+1000点;紫
1385;绝对防御3级;每次受击后（包含援护防御受击），自身获得绝对防御状态（可叠加5层），受到攻击减少最终伤害，值为真气*4%+1000点;橙
1386;绝对防御4级;每次受击后（包含援护防御受击），自身获得绝对防御状态（可叠加5层），受到攻击减少最终伤害，值为真气*5%+1000点;橙
1387;绝对防御5级;每次受击后（包含援护防御受击），自身获得绝对防御状态（可叠加5层），下次受到攻击减少最终伤害，每层绝对防御降低真气*6%+1000点伤害;暗金
1388;饱经霜雪;回合吸血上限+500000;暗金
1389;舍己为人1级;每次受到攻击，有20%几率为周围3*3队友施放5000+攻击*10%的治疗;蓝
1390;舍己为人2级;每次受到攻击，有25%几率为周围3*3队友施放10000+攻击*10%的治疗;紫
1391;舍己为人3级;每次受到攻击，有30%几率为周围3*3队友施放15000+攻击*10%的治疗;橙
1392;舍己为人4级;每次受到攻击，有35%几率为周围3*3队友施放25000+攻击*15%的治疗;金
1393;舍己为人5级;每次受到攻击，有45%几率为周围3*3队友施放40000+攻击*20%的治疗;暗金
1394;金刚不坏1级;进入战斗第一次受到主动攻击时基础伤害-30%;蓝
1395;金刚不坏2级;进入战斗第一次受到主动攻击时基础伤害-40%;紫
1396;金刚不坏3级;进入战斗第一次受到主动攻击时基础伤害-60%;橙
1397;金刚不坏4级;进入战斗第一次受到主动攻击时基础伤害-80%;金
1398;金刚不坏5级;单局内受到的第一次主动伤害，免疫所有伤害和附加效果;暗金
1399;孤身只影;场上每有一个流血的敌人，自身回合吸血上限+20W（最多增加100W）;金
1400;多段拳法1级;以30%几率增加玄机门多段拳法的攻击段数，最多1次;蓝
1401;多段拳法2级;以50%几率增加玄机门多段拳法的攻击段数，最多1次;紫
1402;多段拳法3级;以50%几率增加玄机门多段拳法的攻击段数，最多2次;橙
1403;多段拳法4级;以60%几率增加玄机门多段拳法的攻击段数，最多2次;金
1404;多段拳法5级;以60%几率增加玄机门多段拳法的攻击段数，最多3次;暗金
1405;多段剑法1级;以30%几率增加玄机门多段剑法的攻击段数，最多1次;蓝
1406;多段剑法2级;以50%几率增加玄机门多段剑法的攻击段数，最多1次;蓝
1407;多段腿法1级;以30%几率增加玄机门多段腿法的攻击段数，最多1次;蓝
1408;多段剑法5级;以60%几率增加玄机门多段剑法的攻击段数，最多3次;蓝
1409;多段剑法4级;以60%几率增加玄机门多段剑法的攻击段数，最多2次;蓝
1410;多段剑法3级;以50%几率增加玄机门多段剑法的攻击段数，最多2次;蓝
1411;多段腿法2级;以50%几率增加玄机门多段腿法的攻击段数，最多1次;蓝
1412;多段腿法4级;以60%几率增加玄机门多段腿法的攻击段数，最多2次;蓝
1413;多段腿法3级;以50%几率增加玄机门多段腿法的攻击段数，最多2次;蓝
1414;多段腿法5级;以60%几率增加玄机门多段腿法的攻击段数，最多3次;蓝
1415;多段暗器1级;以30%几率增加玄机门多段暗器的攻击段数，最多1次;蓝
1416;多段暗器2级;以50%几率增加玄机门多段暗器的攻击段数，最多1次;蓝
1417;多段暗器3级;以50%几率增加玄机门多段暗器的攻击段数，最多2次;蓝
1418;多段暗器4级;以60%几率增加玄机门多段暗器的攻击段数，最多2次;蓝
1419;多段暗器5级;以60%几率增加玄机门多段暗器的攻击段数，最多3次;蓝
1421;识破罩门5级;攻击暴击时，70%几率敌人无法进行反弹、反击、识破;蓝
1422;识破罩门4级;攻击暴击时，有50%几率敌人无法进行反弹、反击、识破;蓝
1423;识破罩门3级;攻击暴击时，有40%几率敌人无法进行反弹、反击、识破;蓝
1424;识破罩门2级;攻击暴击时，有30%几率敌人无法进行反弹、反击、识破;蓝
1425;识破罩门1级;攻击暴击时，有20%几率敌人无法进行反弹、反击、识破;蓝
1426;强化穿透5级;暗器穿透时，威力为上一次的80%;蓝
1427;强化穿透4级;暗器穿透时，威力为上一次的70%;蓝
1428;强化穿透3级;暗器穿透时，威力为上一次的60%;蓝
1429;强化穿透2级;暗器穿透时，威力为上一次的50%;蓝
1430;强化穿透1级;暗器穿透时，威力为上一次的40%（初始值为30%）;蓝
1431;强化弹射5级;暗器弹射时，威力为上一次的120%;蓝
1432;强化弹射4级;暗器弹射时，威力为上一次的110%;蓝
1433;强化弹射3级;暗器弹射时，威力为上一次的100%;蓝
1434;强化弹射2级;暗器弹射时，威力为上一次的90%;蓝
1435;强化弹射1级;暗器弹射时，威力为上一次的80%（初始值为70%）;蓝
1436;层峰叠浪5级;追加攻击时，附加负面状态层数为首次攻击的50%;暗金
1437;层峰叠浪4级;追加攻击时，附加负面状态层数为首次攻击的40%;金
1438;层峰叠浪3级;追加攻击时，附加负面状态层数为首次攻击的30%;橙
1439;层峰叠浪2级;追加攻击时，附加负面状态层数为首次攻击的25%;紫
1440;层峰叠浪1级;追加攻击时，附加负面状态层数为首次攻击的20%（初始值为10%）;蓝
1441;余波微震5级;对多个目标附加负面状态时，其他目标层数是选中目标的50%;暗金
1442;余波微震4级;对多个目标附加负面状态时，其他目标层数是选中目标的40%;金
1443;余波微震3级;对多个目标附加负面状态时，其他目标层数是选中目标的30%;橙
1444;余波微震2级;对多个目标附加负面状态时，其他目标层数是选中目标的25%;紫
1445;余波微震1级;对多个目标附加负面状态时，其他目标层数是选中目标的20%（初始值为10%）;蓝
1446;就棍打腿;铸剑奇门武学攻击后，有50%几率获得铸剑蓄力层数+1;紫
1447;挥剑成河;铸剑山庄剑法伤害+10%;金
1448;刀若轻鸿;铸剑山庄刀法伤害+10%;金
1449;棍扫成片;铸剑山庄奇门伤害+10%;金
1450;把薪助火;铸剑山庄所有外功伤害+10%;暗金
1451;太阿剑威;拥有“铸剑蓄力”状态时，基础攻击提升10%;橙
1452;层层相护;回合开始时，若拥有铸剑蓄力，获得武学攻击*10%点护盾;橙
1454;磨刀霍霍;铸剑山庄绝招或奥义攻击后，角色行动条前进1%*铸剑蓄力层数（每次最高前进10%）;橙
1455;胜邪剑凶;自身铸剑蓄力达到20层时，所有武学附加敌人最大生命8%的无视防御、护盾直接伤害（每回合触发1次，最大不超过100W血）;暗金
1456;凌波仙子3级;回合外受到4次攻击后，闪避率暂时+70%，直到闪避1次后消失;金
1457;养精蓄锐;铸剑山庄奇门武学与刀法武学威力百分比+10%;金
1458;黑曜巨剑+5;攻击附加减速+20;暗金
1459;南诏铁柱+10;免疫吸附、击退等位移效果;暗金
1460;逆鳞手套+5;攻击附加流血+20;暗金
1461;金铃玉珠串+5;攻击附加内伤+30;暗金
1462;虎头铡刀+5;攻击附加残废+15;暗金
1463;天龙伏魔棍;所有攻击附加破甲+10;暗金
1464;天龙伏魔棍+10;使用奇门武学时，对十字中心目标造成基础伤害+20%;暗金
1465;缎面金花鞋+10;所有腿法忽视防御率+10%;暗金
1466;乌蚕衣+10;破甲抗性1级：破甲抗性+30（最高升至5级）;暗金
1467;雌雄龙凤环;攻击有6种基础负面状态的敌人时，附加6种负面状态+10;暗金
1468;纹银匕首+5;暴击伤害倍数+10%;金
1469;飞雪剑;速度+100;紫
1470;大漠青狮甲;生命+5000;暗金
1471;璧蟾玉佩;受到附加中毒的攻击时，自身获得本次受到中毒层数*500的护盾值;暗金
1472;大漠黑鹫甲;生命+5000;暗金
1473;赤菩提+10;流血抗性1级：流血抗性+30（最高升至5级）;暗金
1474;大漠金鹿甲;生命+5000;暗金
1475;八十斤铁鞋+5;行动格子数-1；免疫吸附，击退效果;暗金
1476;八十斤铁鞋;所有腿法基础伤害+5%;暗金
1477;打狗棒+10;连招造成的基础伤害+15%;暗金
1478;璎珞飞针+10;暗器武学多段攻击次数+1，弹射次数+1;暗金
1479;前朝将军甲;受击时恢复生命5000+2%（自身行动间隔内最多触发一次，上限值50000）;暗金
1480;行者鞋;700点的回合真气恢复，每回合恢复最大真气*3%的当前真气值;暗金
1481;火形玉+5;生命值低于50%时，剑法基础伤害+10%;暗金
1482;火形玉;提升3%*回合生命回复+2000点的生命回复;暗金
1483;星魂剑+5;《玄铁巨剑法》连击率+5%;橙
1484;星魂剑;《玄铁巨剑法》威力百分比+10%;橙
1485;游氏双绝杖+5;《如影随形腿》威力百分比+20%;橙
1486;翡翠剑;剑法武学侧击时，基础伤害+5%;橙
1487;闯王军刀+10;妒火中烧1级：敌人每有一种增益状态（强壮、坚韧、轻盈、疗伤、调息），所有武学造成基础伤害+2%;紫
1488;神木棍;毒系武学基础伤害+5%;紫
1489;暴雨梨花+10;强化穿透1级：暗器穿透时，威力为上一次的40%（初始值为30%）;暗金
1490;大将军甲;生命+10%（上限20000）;暗金
1491;五毒蛊囊+5;暗中偷袭1级：所有武学对中毒目标基础伤害+3%;暗金
1492;赤刀化+10;嗜血追击1级：敌人剩余血量低于50%时，造成基础伤害+5%。敌人血量每低5%，造成基础伤害+1%。;暗金
1493;贪吃罗汉拳套;拳掌精通+10%;暗金
1494;万佛朝宗+5;受到拳掌武学基础伤害-5%;金
1495;九环金刀;刀法精通+10%（上限500）;暗金
1496;踏雪鞋+10;极速前进1级：开局进度条前进到至5%;紫
1497;霜家金丝服+10;真气外放1级：所有额外消耗真气附加伤害效果，最多消耗100W真气，每消耗10点真气附加4点额外伤害;橙
1498;沉香珠链+5;真气增加10000+10%;橙
1499;丘筑基的道袍;《观天心法》等级上限+1;橙
1500;贴身肚兜+5;生命+3000;橙
1501;分筋断骨钉+5;开局第一次释放奥义攻击，使目标封印内功武学一回合;金
1502;龙虎拳套+5;开局第一次释放奥义攻击，使目标封印暗器武学一回合;金
1503;天涯无悔刀+5;开局第一次释放奥义攻击，使目标封印暗器武学一回合;金
1504;绝无此剑+5;开局第一次释放奥义攻击，使目标封印奇门武学一回合;金
1505;龙儿裹腿布+5;所有腿法基础伤害+10%;暗金
1506;龙儿裹腿布;所有攻击附加中毒+10;暗金
1507;大漠苍狼甲+5;单局内受到首次奇门基础伤害-80%;暗金
1508;大漠白猿甲+5;单局内受到首次腿法基础伤害-80%;暗金
1509;大漠灵蛇甲+5;单局内受到首次暗器基础伤害-80%;暗金
1510;法相金轮;攻击附加内伤+15;金
1511;法相金轮+5;舍己为人1级：每次受到攻击，有20%几率为周围3*3队友施放5000+攻击*10%的治疗;紫
1512;磁铁鞋+5;战斗中受到首次暗器武学基础伤害-15%;金
1513;青铜半护胸+5;战斗中受到首次拳法武学基础伤害-15%;金
1514;银铃胸甲+5;战斗中受到首次刀法武学基础伤害-15%;金
1515;太华剑+5;五岳宗武学威力百分比+10%;暗金
1516;无尽酒葫芦;受到多段武学基础伤害-5%;金
1517;铁手蒲扇+5;龙门武学攻击时，附加2000点伤害;紫
1518;七宝戒指+10;攻击时按照伤害的10%吸收敌人真气（最高20000点）;暗金
1519;倚天剑+10;暴击伤害倍数+30%;暗金
1520;降龙伏虎棍+5;使用奇门武学暴击时，对攻击范围中心的敌人造成基础伤害+20%;暗金
1521;恶不作的大砍刀+5;攻击附加流血+5;蓝
1522;龙泉宝剑;一回合使用非剑法武学时，下回合使用剑法武学附加破甲+30;暗金
1523;无情铁手;一回合使用非拳掌武学时，下回合使用拳掌武学附加内伤+50;暗金
1524;弘业的拳套;使用拳掌攻击额外造成2000点伤害;暗金
1525;烈阳烧火棍;少林奇门武学攻击额外造成2000点伤害;暗金
1526;龙门掌门令;战斗开始时，获得一层寒冰真气;金
1527;紫霞腰带;装备附加的内功精通+5%;金
1528;群情激奋;攻击附加额外300伤害;白
1529;白衣之怒1级;全属性提升10%，生命值大幅增加;橙
1530;白衣之怒2级;全属性提升20%，生命值大幅增加;橙
1531;白衣之怒3级;全属性提升40%，生命值大幅增加;橙
1532;白衣之怒4级;全属性提升60%，生命值大幅增加;橙
1533;白衣之怒·真1级;全属性提升30%，生命值大幅增加;橙
1534;白衣之怒·真2级;全属性提升70%，生命值大幅增加;橙
1535;白衣之怒·真3级;全属性提升120%，生命值大幅增加;橙
1536;白衣之怒·真4级;全属性提升190%，生命值大幅增加;橙
1538;我有强援;一支穿云箭，新科状元来相见;橙
1539;飞花摘叶;《飞花摘叶镖》攻击时，附加1500点伤害;橙
1540;毒冰针;《毒冰针》攻击时，20%几率额外附加减速+10;橙
1541;玉笛剑法;《玉笛剑法》攻击时，额外附加1000点伤害;橙
1542;三重裂空掌;《三重裂空掌》攻击时，额外附加1500点伤害;橙
1543;百花掌法;《百花掌法》释放后，为目标附加中毒+10;橙
1544;玄机腿法;《玄机腿法》攻击时，额外附加2000点伤害;橙
1545;鸳鸯腿;《鸳鸯腿》攻击时，额外附加攻击*10%的伤害;橙
1546;银针飞花;《银针飞花》攻击时，10%几率额外附加中毒+10;橙
1547;五彩神砂;《五彩神砂》攻击时，20%几率额外附加中毒+15;橙
1548;乾坤百切斩;《乾坤百切斩》攻击时，20%几率额外附加减速+20;橙
1549;机关片斩刀;《机关片斩刀》攻击时，10%几率额外附加减速+10;橙
1550;相思断剑;《相思断剑》对有护盾的目标造成基础伤害+15%;橙
1551;金光交错刀;《金光交错刀法》对有护盾的目标造成基础伤害+15%;橙
1552;排云流火掌;《排云流火掌》攻击时，附基础伤害+10%;橙
1553;三阳灼雨拳;《三阳灼雨拳》对有护盾的目标造成基础伤害+10%;橙
1554;日月剑法;《日月剑法》吸血率+3%;橙
1555;黑月神针;《黑月神针》攻击时，10%几率附加流血+10;橙
1556;摧坚神爪;《摧坚神爪》攻击时，10%几率附加流血+15;橙
1557;玄阳腿法;《玄阳腿法》攻击时，10%几率附加减速+15;橙
1558;金线飞针;《金线飞针》攻击时，20%几率附加破甲+20;橙
1559;惊魂刀法;《惊魂刀法》攻击时额外附加流血+10;橙
1560;饮血刀法;《饮血刀法》攻击时额外附加流血+15;橙
1561;金顶穿花剑;《金顶穿花剑》暴击率+4%;橙
1562;飘雪穿云剑;《飘雪穿云剑》暴击时，附加减速+10;橙
1563;峨嵋通臂拳;《峨嵋通臂拳》暴击值+200;橙
1564;佛光注照掌;《佛光注照掌》暴击伤害倍数+5%;橙
1565;铁拐棍法;《铁拐棍法》攻击时，连招率+5.5%;橙
1566;龙爪手;《龙爪手》攻击时，连招率+4.5%;橙
1567;擒龙掌法;《擒龙掌法》攻击时，连招率+6%;橙
1568;游龙腿法;《游龙腿法》攻击时，连招率+5.5%;橙
1569;三才五格棍;《三才五格棍》攻击时，10%几率对敌人额外附加减速+10;橙
1570;仙人对弈曲;《仙人对弈曲》攻击时，20%几率对敌人额外附加减速+20;橙
1571;狂风剑法;《狂风剑法》攻击次数+1;橙
1572;霜氏九式剑法;《霜氏九式剑法》攻击时，额外附加1500点伤害;橙
1573;三仙夺命连环剑;《三仙夺命连环剑》多段攻击次数+1;橙
1574;伏虎掌;《伏虎掌》攻击时额外附加1000点伤害;橙
1575;烈阳疗伤术;《烈阳疗伤术》额外恢复2000点生命值;橙
1576;严刑刀法;《严刑刀法》攻击后，20%几率额外附加残废+10;橙
1577;金钩枪术;《金钩枪术》攻击时，附加1000点伤害;橙
1578;三阳神拳;《三阳神拳》攻击后，自身获得调息+10;橙
1579;八门金锁棍;《八门金锁棍》攻击时，附加2000点伤害;橙
1580;烈阳强身拳;《烈阳强身拳》攻击时，附加力1500点真气燃烧;橙
1581;扛旗枪法;《扛旗枪法》拥有烈火真气时，威力百分比+8%;橙
1582;托镖长戟;《托镖长戟》拥有烈火真气时，威力百分比+15%;橙
1583;七式惊涛刀法;《七式惊涛刀法》拥有寒冰真气时，威力百分比+10%;橙
1584;冰火掌;拥有任意真气时，《冰火掌》威力百分比+10%;橙
1585;五虎断门刀;《五虎断门刀》攻击时，附加2000点伤害;橙
1586;破魔刀法;《破魔刀法》攻击时，额外获得刀法精通*1的攻击力;橙
1587;慈悲刀法;《慈悲刀法》攻击时，附加2000点伤害;橙
1588;大力金刚掌;《大力金刚掌》攻击时，额外附加2000点绝对伤害;橙
1589;赤蛇神掌;《赤蛇神掌》攻击时，附加中毒+10;橙
1590;毒龙棍法;《毒龙棍法》攻击时，附加中毒+20;橙
1591;旱地神龙掌;《旱地神龙掌》攻击时，额外附加1500点伤害;橙
1592;八卦掌;《八卦掌》反击时，额外增加4000点伤害;橙
1593;虎爪功;《虎爪功》攻击时，对流血目标额外造成6000点伤害;橙
1594;二气掌法;《二气掌法》额外附加5点内伤;橙
1595;天山玄冰针;《天山玄冰针》攻击时，20%几率对敌人额外附加减速+20;橙
1596;灵枢针术;《灵枢针术》释放后可增加自身2000点护盾;橙
1597;经脉错乱针;《灵枢针术》释放后可增加自身2000点护盾;橙
1598;开炉刀法;《开炉刀法》攻击后，20%几率额外获得一层蓄力;橙
1599;纯钧剑法;《纯钧剑法》攻击后，30%几率额外获得一层蓄力;橙
1600;棒棒打狗40;所有奇门武学，命中率提高40%;橙
1601;蚩尤像;开场获得效果蚩尤天降"：本场战斗第一次造成伤害时，对目标3*3范围造成3000固定伤害";橙
1602;蚩尤像+5;开场获得效果蚩尤天降"被强化：本场战斗第一次造成伤害时，对目标3*3范围造成6000固定伤害";橙
1603;锁子甲;最终伤害值减免5000;金
1604;易筋洗髓5级;每次行动结束后，提升25%生命上限和等值护盾。（单局生效5次）;暗金
1605;易筋洗髓4级;每次行动结束后，提升20%生命上限和等值护盾。（单局生效5次）;金
1606;易筋洗髓3级;每次行动结束后，提升15%生命上限和等值护盾。（单局生效5次）;橙
1607;易筋洗髓2级;每次行动结束后，提升10%生命上限和等值护盾。（单局生效5次）;紫
1608;易筋洗髓1级;每次行动结束后，提升10%生命上限。（单局生效5次）;蓝
1609;皮糙肉厚（专属）;自身被攻击时，减少10000点伤害;蓝
1610;拳皇秘典3级;每增加一门拳法武学，降低来自暗器10%的伤害;橙
1611;拳皇秘典2级;每增加一门拳法武学，降低来自暗器7%的伤害;紫
1612;拳皇秘典1级;每增加一门拳法武学，降低来自暗器5%的伤害;蓝
1613;刀霸秘典3级;每增加一门刀法武学，降低来自奇门10%的伤害;橙
1614;刀霸秘典2级;每增加一门刀法武学，降低来自奇门7%的伤害;紫
1615;刀霸秘典1级;每增加一门刀法武学，降低来自奇门5%的伤害;蓝
1616;棍王秘典3级;每增加一门奇门武学，降低来自腿法10%的伤害;橙
1617;棍王秘典2级;每增加一门奇门武学，降低来自腿法7%的伤害;紫
1618;棍王秘典1级;每增加一门奇门武学，降低来自腿法5%的伤害;蓝
1619;剑圣秘典3级;每增加一门剑法武学，降低来自拳掌10%的伤害;橙
1620;剑圣秘典2级;每增加一门剑法武学，降低来自拳掌7%的伤害;紫
1621;剑圣秘典1级;每增加一门剑法武学，降低来自拳掌5%的伤害;蓝
1622;暗器秘典3级;每增加一门暗器武学，降低来自刀法10%的伤害;橙
1623;暗器秘典2级;每增加一门暗器武学，降低来自刀法7%的伤害;紫
1624;暗器秘典1级;每增加一门暗器武学，降低来自刀法5%的伤害;蓝
1625;腿皇秘典3级;每增加一门腿法武学，降低来自剑法2%的伤害;橙
1626;腿皇秘典2级;每增加一门腿法武学，降低来自剑法1.5%的伤害;紫
1627;腿皇秘典1级;每增加一门腿法武学，降低来自剑法5%的伤害;蓝
1628;药王秘典3级;每增加一门医术武学，降低来自内功10%的伤害;橙
1629;药王秘典2级;每增加一门医术武学，降低来自内功7%的伤害;紫
1630;药王秘典1级;每增加一门医术武学，降低来自内功5%的伤害;蓝
1631;内功秘典3级;每增加一门内功武学，降低来自医术10%的伤害;橙
1632;内功秘典2级;每增加一门内功武学，降低来自医术7%的伤害;紫
1633;内功秘典1级;每增加一门内功武学，降低来自医术5%的伤害;蓝
1634;空手入白刃3级;闪避率+15%;橙
1635;空手入白刃2级;闪避率+10%;紫
1636;空手入白刃1级;闪避率+5%;蓝
1637;刀气护体3级;当触发进度条击退时，有30%几率免疫此次进度条击退效果;橙
1638;刀气护体2级;当触发进度条击退时，有20%几率免疫此次进度条击退效果;紫
1639;刀气护体1级;当触发进度条击退时，有10%几率免疫此次进度条击退效果;蓝
1640;不动如山1级;当被敌人释放位移效果时，有20%几率免疫此次位移效果;蓝
1641;不动如山3级;当被敌人释放位移效果时，有40%几率免疫此次位移效果;橙
1642;不动如山2级;当被敌人释放位移效果时，有30%几率免疫此次位移效果;紫
1643;铜皮铁骨3级;被攻击时，使敌人40%的忽视防御率无效;橙
1644;铜皮铁骨2级;被攻击时，使敌人30%的忽视防御率无效;紫
1645;铜皮铁骨1级;被攻击时，使敌人20%的忽视防御率无效;蓝
1646;吸血免疫3级;被攻击时，有20%几率免疫吸血;橙
1647;吸血免疫2级;被攻击时，有15%几率免疫吸血;紫
1648;吸血免疫1级;被攻击时，有10%几率免疫吸血;蓝
1649;暴击抵抗1级;被攻击时，使敌人暴击率10%无效;蓝
1650;暴击抵抗3级;被攻击时，使敌人暴击率20%无效;橙
1651;暴击抵抗2级;被攻击时，使敌人暴击率15%无效;紫
1653;真气免疫3级;被攻击时，20%几率使其附加的真气伤害无效;橙
1654;真气免疫2级;被攻击时，15%几率使其附加的真气伤害无效;紫
1655;真气免疫1级;被攻击时，10%几率使其附加的真气伤害无效;蓝
1656;治疗丢失3级;使敌方所有单位30%几率无法治疗;橙
1657;治疗丢失2级;使敌方所有单位20%几率无法治疗;紫
1658;治疗丢失1级;使敌方所有单位10%几率无法治疗;蓝
1659;灵露的红伞;使用《相思断剑》时，额外附加3000点伤害;蓝
1660;玉髓丹1级;提升1%+30点所有精通属性;蓝
1661;玉髓丹5级;提升5%+150点所有精通属性;暗金
1662;玉髓丹4级;提升4%+120点所有精通属性;金
1663;玉髓丹3级;提升3%+90点所有精通属性;橙
1664;玉髓丹2级;提升2%+60点所有精通属性;紫
1665;金环蛇胆5级;提升5%+25000点真气值;暗金
1666;金环蛇胆4级;提升4%+20000点真气值;金
1667;金环蛇胆3级;提升3%+15000点真气值;橙
1668;金环蛇胆2级;提升2%+10000点真气值;紫
1669;金环蛇胆1级;提升1%+5000点真气值;蓝
1670;聚元丹5级;提升5%+50点拳掌、刀法、奇门、医术精通;暗金
1671;聚元丹4级;提升4%+40点拳掌、刀法、奇门、医术精通;金
1672;聚元丹3级;提升3%+30点拳掌、刀法、奇门、医术精通;橙
1673;聚元丹2级;提升2%+20点拳掌、刀法、奇门、医术精通;紫
1674;聚元丹1级;提升1%+10点拳掌、刀法、奇门、医术精通;蓝
1675;天阴控心丹5级;提升5%+50点剑法、腿法、暗器、内功精通;暗金
1676;天阴控心丹4级;提升4%+40点剑法、腿法、暗器、内功精通;金
1677;天阴控心丹3级;提升3%+30点剑法、腿法、暗器、内功精通;橙
1678;天阴控心丹2级;提升2%+20点剑法、腿法、暗器、内功精通;紫
1679;天阴控心丹1级;提升1%+10点剑法、腿法、暗器、内功精通;蓝
1680;三逆丹3级;提升3%+30000点生命值;橙
1681;三逆丹5级;提升5%+50000点生命值;暗金
1682;三逆丹2级;提升2%+20000点生命值;紫
1683;三逆丹4级;提升4%+40000点生命值;金
1684;三逆丹1级;提升1%+10000点生命值;蓝
1685;恶不作控制;控制恶不作的行动，看不见我！看不见我！看不见我~;橙
1686;善不为控制;控制善不为的行动，看不见我！看不见我！看不见我~;橙
1687;白云仙草丸;角色内力阳性+10;暗金
1688;白云明月丸1级;角色内力阳性+10，服用后可解毒;暗金
1689;白云明月丸2级;角色内力阳性+20，服用后可解毒;暗金
1690;白云明月丸3级;角色内力阳性+30，服用后可解毒;暗金
1691;普斯曲蛇毒3级;角色内力阴性+30;暗金
1692;普斯曲蛇毒2级;角色内力阴性+20;金
1693;普斯曲蛇毒1级;角色内力阴性+10;橙
1694;八宝紫金锭;角色可学武学数量上限+1，最多不超过20;暗金
1695;阴阳颠倒丹;使角色的性别转换;暗金
1696;沉香万古丹;角色可学天赋数量上限+1，最多不超过20;暗金
1697;绝情断骨丸;角色性别不可逆得转变为阴人;暗金
1698;烈阳护体5级;使用内功武学时，根据消耗的真气，获得350%的护盾。（获得护盾上限50万）;暗金
1699;烈阳护体4级;使用内功武学时，根据消耗的真气，获得250%的护盾。（获得护盾上限25万）;金
1700;烈阳护体3级;使用内功武学时，根据消耗的真气，获得150%的护盾。（获得护盾上限15万）;橙
1701;烈阳护体2级;使用内功武学时，根据消耗的真气，获得100%的护盾。（获得护盾上限10万）;紫
1702;烈阳护体1级;使用内功武学时，根据消耗的真气，获得50%的护盾。（获得护盾上限5万）;蓝
1703;奇门归一5级;使用奇门武学时，将非中心目标伤害的120%复制给中心目标，最高不超过中心目标原始伤害的300%。;暗金
1704;奇门归一4级;使用奇门武学时，将非中心目标伤害的100%复制给中心目标，最高不超过中心目标原始伤害的250%。;金
1705;奇门归一3级;使用奇门武学时，将非中心目标伤害的80%复制给中心目标，最高不超过中心目标原始伤害的200%。;橙
1706;奇门归一2级;使用奇门武学时，将非中心目标伤害的50%复制给中心目标，最高不超过中心目标原始伤害的150%。;紫
1707;奇门归一1级;使用奇门武学时，将非中心目标伤害的30%复制给中心目标，最高不超过中心目标原始伤害的100%。;蓝
1708;神影无踪5级;行动条速度提高20%;暗金
1709;神影无踪4级;行动条速度提高15%;金
1710;神影无踪3级;行动条速度提高12%;橙
1711;神影无踪2级;行动条速度提高10%;紫
1712;神影无踪1级;行动条速度提高8%;蓝
1713;气血为盾5级;角色在行动回合内对自身造成伤害时，获得伤害值100%的护盾。;暗金
1714;气血为盾4级;角色在行动回合内对自身造成伤害时，获得伤害值80%的护盾。;金
